City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,,
Delhi,01/01/18,406,223.3,438.48,336.98,462.84,4.26,385.7,,
Delhi,02/01/18,418,229.9,451.44,346.94,476.52,4.39,397.1,,
Delhi,03/01/18,382,210.1,412.56,317.06,435.48,4.01,362.9,,
Delhi,04/01/18,366,201.3,395.28,303.78,417.24,3.84,347.7,,
Delhi,05/01/18,390,214.5,421.2,323.7,444.6,4.1,370.5,,
Delhi,06/01/18,405,222.75,437.4,336.15,461.7,4.25,384.75,,
Delhi,07/01/18,355,195.25,383.4,294.65,404.7,3.73,337.25,,
Delhi,08/01/18,288,158.4,311.04,239.04,328.32,3.02,273.6,,
Delhi,09/01/18,359,197.45,387.72,297.97,409.26,3.77,341.05,,
Delhi,10/01/18,352,193.6,380.16,292.16,401.28,3.7,334.4,,
Delhi,11/01/18,309,169.95,333.72,256.47,352.26,3.24,293.55,,
Delhi,12/01/18,298,163.9,321.84,247.34,339.72,3.13,283.1,,
Delhi,13/01/18,359,197.45,387.72,297.97,409.26,3.77,341.05,,
Delhi,14/01/18,321,176.55,346.68,266.43,365.94,3.37,304.95,,
Delhi,15/01/18,331,182.05,357.48,274.73,377.34,3.48,314.45,,
Delhi,16/01/18,255,140.25,275.4,211.65,290.7,2.68,242.25,,
Delhi,17/01/18,353,194.15,381.24,292.99,402.42,3.71,335.35,,
Delhi,18/01/18,400,220,432,332,456,4.2,380,,
Delhi,19/01/18,406,223.3,438.48,336.98,462.84,4.26,385.7,,
Delhi,20/01/18,323,177.65,348.84,268.09,368.22,3.39,306.85,,
Delhi,21/01/18,276,151.8,298.08,229.08,314.64,2.9,262.2,,
Delhi,22/01/18,342,188.1,369.36,283.86,389.88,3.59,324.9,,
Delhi,23/01/18,324,178.2,349.92,268.92,369.36,3.4,307.8,,
Delhi,24/01/18,270,148.5,291.6,224.1,307.8,2.84,256.5,,
Delhi,25/01/18,243,133.65,262.44,201.69,277.02,2.55,230.85,,
Delhi,26/01/18,261,143.55,281.88,216.63,297.54,2.74,247.95,,
Delhi,27/01/18,286,157.3,308.88,237.38,326.04,3,271.7,,
Delhi,28/01/18,300,165,324,249,342,3.15,285,,
Delhi,29/01/18,302,166.1,326.16,250.66,344.28,3.17,286.9,,
Delhi,30/01/18,270,148.5,291.6,224.1,307.8,2.84,256.5,,
Delhi,31/01/18,244,134.2,263.52,202.52,278.16,2.56,231.8,,
Delhi,01/02/18,274,150.7,295.92,227.42,312.36,2.88,260.3,,
Delhi,02/02/18,293,161.15,316.44,243.19,334.02,3.08,278.35,,
Delhi,03/02/18,243,133.65,262.44,201.69,277.02,2.55,230.85,,
Delhi,04/02/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,05/02/18,291,160.05,314.28,241.53,331.74,3.06,276.45,,
Delhi,06/02/18,287,157.85,309.96,238.21,327.18,3.01,272.65,,
Delhi,07/02/18,261,143.55,281.88,216.63,297.54,2.74,247.95,,
Delhi,08/02/18,308,169.4,332.64,255.64,351.12,3.23,292.6,,
Delhi,09/02/18,335,184.25,361.8,278.05,381.9,3.52,318.25,,
Delhi,10/02/18,341,187.55,368.28,283.03,388.74,3.58,323.95,,
Delhi,11/02/18,304,167.2,328.32,252.32,346.56,3.19,288.8,,
Delhi,12/02/18,178,97.9,192.24,147.74,202.92,1.87,169.1,,
Delhi,13/02/18,191,105.05,206.28,158.53,217.74,2.01,181.45,,
Delhi,14/02/18,187,102.85,201.96,155.21,213.18,1.96,177.65,,
Delhi,15/02/18,187,102.85,201.96,155.21,213.18,1.96,177.65,,
Delhi,16/02/18,235,129.25,253.8,195.05,267.9,2.47,223.25,,
Delhi,17/02/18,256,140.8,276.48,212.48,291.84,2.69,243.2,,
Delhi,18/02/18,257,141.35,277.56,213.31,292.98,2.7,244.15,,
Delhi,19/02/18,294,161.7,317.52,244.02,335.16,3.09,279.3,,
Delhi,20/02/18,296,162.8,319.68,245.68,337.44,3.11,281.2,,
Delhi,21/02/18,308,169.4,332.64,255.64,351.12,3.23,292.6,,
Delhi,22/02/18,300,165,324,249,342,3.15,285,,
Delhi,23/02/18,302,166.1,326.16,250.66,344.28,3.17,286.9,,
Delhi,24/02/18,320,176,345.6,265.6,364.8,3.36,304,,
Delhi,25/02/18,266,146.3,287.28,220.78,303.24,2.79,252.7,,
Delhi,26/02/18,156,85.8,168.48,129.48,177.84,1.64,148.2,,
Delhi,27/02/18,160,88,172.8,132.8,182.4,1.68,152,,
Delhi,28/02/18,272,149.6,293.76,225.76,310.08,2.86,258.4,,
Delhi,01/03/18,257,141.35,277.56,213.31,292.98,2.7,244.15,,
Delhi,02/03/18,260,143,280.8,215.8,296.4,2.73,247,,
Delhi,03/03/18,203,111.65,219.24,168.49,231.42,2.13,192.85,,
Delhi,04/03/18,178,97.9,192.24,147.74,202.92,1.87,169.1,,
Delhi,05/03/18,172,94.6,185.76,142.76,196.08,1.81,163.4,,
Delhi,06/03/18,167,91.85,180.36,138.61,190.38,1.75,158.65,,
Delhi,07/03/18,185,101.75,199.8,153.55,210.9,1.94,175.75,,
Delhi,08/03/18,245,134.75,264.6,203.35,279.3,2.57,232.75,,
Delhi,09/03/18,280,154,302.4,232.4,319.2,2.94,266,,
Delhi,10/03/18,170,93.5,183.6,141.1,193.8,1.79,161.5,,
Delhi,11/03/18,170,93.5,183.6,141.1,193.8,1.79,161.5,,
